course_number,description
CRIM 1400.,Human Trafficking.  (4 Hours)
CRIM 1500.,"Corruption, Integrity, and Accountability.  (4 Hours)"
CRIM 1700.,"Crime, Media, and Politics.  (4 Hours)"
CRIM 1990.,Elective.  (1-4 Hours)
CRIM 2310.,Courts: The Third Branch of Government.  (4 Hours)
CRIM 2320.,Youth Crime and Justice.  (4 Hours)
CRIM 2330.,Punishment in the Age of Mass Incarceration.  (4 Hours)
CRIM 2340.,Corporate Security: Securing the Private Sector.  (4 Hours)
CRIM 2350.,Policing a Democratic Society.  (4 Hours)
CRIM 2370.,Restorative Justice: Transforming the System.  (4 Hours)
CRIM 2380.,Black Families and Incarceration.  (4 Hours)
CRIM 2990.,Elective.  (1-4 Hours)
CRIM 2991.,Research Practicum.  (2-4 Hours)
CRIM 3000.,Co-op Integration Seminar 2.  (1 Hour)
CRIM 3010.,Criminal Violence.  (4 Hours)
CRIM 3020.,Victims of Crime.  (4 Hours)
CRIM 3030.,Global Criminology.  (4 Hours)
CRIM 3040.,Psychology of Crime.  (4 Hours)
CRIM 3060.,Political Crime and Terrorism.  (4 Hours)
CRIM 3070.,Corporate and White-Collar Crime.  (4 Hours)
CRIM 3100.,Criminal Law.  (4 Hours)
CRIM 3110.,"Gender, Crime, and Justice.  (4 Hours)"
CRIM 3120.,"Race, Crime, and Justice.  (4 Hours)"
CRIM 3540.,Addiction and Recovery.  (4 Hours)
CRIM 3600.,Criminal Justice Research Methods.  (4 Hours)
CRIM 3700.,Analyzing and Using Data on Crime and Justice.  (4 Hours)
CRIM 3900.,Topics in Criminal Justice and Criminology.  (1-4 Hours)
CRIM 3990.,Elective.  (1-4 Hours)
CRIM 4000.,Co-op Integration Seminar 3.  (1 Hour)
CRIM 4040.,Crime Prevention.  (4 Hours)
CRIM 4120.,Courts and Sentencing.  (4 Hours)
CRIM 4660.,Communities and Crime.  (4 Hours)
CRIM 4710.,Law and Psychology.  (4 Hours)
CRIM 4800.,Crime Mapping.  (4 Hours)
CRIM 4949.,Senior Capstone Seminar.  (4 Hours)
CRIM 4970.,Junior/Senior Honors Project 1.  (4 Hours)
CRIM 4971.,Junior/Senior Honors Project 2.  (4 Hours)
CRIM 4990.,Elective.  (1-4 Hours)
CRIM 4991.,Research.  (4 Hours)
CRIM 4992.,Directed Study.  (1-4 Hours)
CRIM 4994.,Internship.  (4 Hours)
CRIM 5201.,Global Criminology.  (4 Hours)
CRIM 5203.,Security in the 21st Century.  (4 Hours)
CRIM 5250.,Victimology.  (4 Hours)
CRIM 5264.,Immigration and Crime.  (4 Hours)
CRIM 5270.,Crime Mapping.  (4 Hours)
CRIM 5600.,Illicit Flows and Criminal Networks.  (4 Hours)
CRIM 5601.,Financial Crimes.  (4 Hours)
CRIM 5602.,"Crime, Place, and Community.  (4 Hours)"
CRIM 5701.,Fundamentals of Crime Analysis and Knowledge Dissemination in ArcGIS Pro.  (1 Hour)
CRIM 5702.,Geoprocessing and Data Integration in ArcGIS Pro.  (1 Hour)
CRIM 5703.,Hot Spot Tracking and Temporal Analysis in ArcGIS Pro.  (1 Hour)
CRIM 5704.,Spatial Statistics and Automation in ArcGIS Pro.  (1 Hour)
CRIM 5900.,Topics in Criminal Justice and Criminology.  (4 Hours)
CRIM 6200.,Criminology.  (4 Hours)
CRIM 6202.,The Criminal Justice Process.  (4 Hours)
CRIM 6232.,Juvenile Law.  (4 Hours)
CRIM 6262.,Evidence-Based Crime Policy.  (4 Hours)
CRIM 6270.,Crime and Community Context.  (4 Hours)
CRIM 6502.,Policing for Crime Prevention.  (4 Hours)
CRIM 6504.,Policing in U.S. Communities.  (4 Hours)
CRIM 6900.,Topics in Criminal Justice and Criminology.  (4 Hours)
CRIM 6954.,Co-op Work Experience - Half-Time.  (0 Hours)
CRIM 6955.,Co-op Work Experience Abroad - Half-Time.  (0 Hours)
CRIM 6962.,Elective.  (1-4 Hours)
CRIM 6964.,Co-op Work Experience.  (0 Hours)
CRIM 6965.,Co-op Work Experience Abroad.  (0 Hours)
CRIM 6966.,Practicum.  (1-4 Hours)
CRIM 6984.,Research.  (1-4 Hours)
CRIM 7001.,PhD Pro-Seminar in Criminology and Justice Policy 1.  (0 Hours)
CRIM 7002.,PhD Pro-Seminar in Criminology and Justice Policy 2.  (0 Hours)
CRIM 7203.,Theories of Criminal Justice Process.  (4 Hours)
CRIM 7264.,Immigration and Crime.  (4 Hours)
CRIM 7330.,Punishment and Social Control.  (4 Hours)
CRIM 7700.,Practicum in Teaching.  (0 Hours)
CRIM 7706.,Practicum in Writing and Publishing.  (2 Hours)
CRIM 7710.,Criminology and Public Policy 1.  (4 Hours)
CRIM 7711.,Criminology and Public Policy 2.  (4 Hours)
CRIM 7962.,Elective.  (1-4 Hours)
CRIM 7976.,Directed Study.  (1-4 Hours)
CRIM 7983.,Topics in Criminal Justice and Criminology.  (4 Hours)
CRIM 8960.,Exam Preparation—Doctoral.  (0 Hours)
CRIM 8984.,Research.  (1-4 Hours)
CRIM 8986.,Research.  (0 Hours)
CRIM 9000.,PhD Candidacy Achieved.  (0 Hours)
CRIM 9990.,Dissertation Term 1.  (0 Hours)
CRIM 9991.,Dissertation Term 2.  (0 Hours)
CRIM 9996.,Dissertation Continuation.  (0 Hours)
CLTR 1000.,"Cultures, Societies, and Global Studies at Northeastern.  (1 Hour)"
CLTR 1120.,"Introduction to Languages, Literature, and Culture.  (4 Hours)"
CLTR 1240.,Latin American Film.  (4 Hours)
CLTR 1251.,"Dante’s Inferno"" and Medieval Italian Culture.  (4 Hours)"""
CLTR 1260.,Japanese Film.  (4 Hours)
CLTR 1280.,French Film and Culture.  (4 Hours)
CLTR 1500.,Modern Chinese History and Culture.  (4 Hours)
CLTR 1501.,Introduction to French Culture.  (4 Hours)
CLTR 1502.,Introduction to Arabic Culture.  (4 Hours)
CLTR 1503.,Introduction to Italian Culture.  (4 Hours)
CLTR 1504.,Cultural History of Spain.  (4 Hours)
CLTR 1505.,"Latin American Culture, History, and Politics.  (4 Hours)"
CLTR 1506.,Introduction to Chinese Popular Culture.  (4 Hours)
CLTR 1700.,Introduction to Japanese Pop Culture.  (4 Hours)
CLTR 1800.,Introduction to Korean Pop Culture.  (4 Hours)
CLTR 1990.,Elective.  (1-4 Hours)
CLTR 2001.,World Cultures through Film.  (4 Hours)
CLTR 2990.,Elective.  (1-4 Hours)
CLTR 3418.,Nationalism.  (4 Hours)
CLTR 3715.,New Narratives: Latin America after 1989.  (4 Hours)
CLTR 3720.,"Literature, Arts, and Poverty in Latin America.  (4 Hours)"
CLTR 3805.,"Culture, Politics, and Media in Spain.  (4 Hours)"
CLTR 3990.,Elective.  (1-4 Hours)
CLTR 4655.,Latin American Literature.  (4 Hours)
CLTR 4944.,Cultural Engagement Abroad.  (4 Hours)
CLTR 4990.,Elective.  (1-4 Hours)
CLTR 4992.,Directed Study.  (1-4 Hours)
CY 2550.,undations of Cybersecurity.  (4 Hours)
CY 2990.,ective.  (1-4 Hours)
CY 2991.,search in Cybersecurity.  (1-4 Hours)
CY 3740.,stems Security.  (4 Hours)
CY 3990.,ective.  (1-4 Hours)
CY 4170.,"e Law, Ethics, and Policy of Data and Digital Technologies.  (4 Hours)"
CY 4740.,twork Security.  (4 Hours)
CY 4760.,curity of Wireless and Mobile Systems.  (4 Hours)
CY 4770.,yptography.  (4 Hours)
CY 4930.,bersecurity Capstone.  (4 Hours)
CY 4970.,nior/Senior Honors Project 1.  (4 Hours)
CY 4971.,nior/Senior Honors Project 2.  (4 Hours)
CY 4973.,pics in Cybersecurity.  (4 Hours)
CY 5001.,berspace Technology and Applications.  (4 Hours)
CY 5010.,undations of Information Assurance.  (4 Hours)
CY 5061.,oud Security.  (2 Hours)
CY 5062.,troduction to IoT Security.  (2 Hours)
CY 5065.,oud Security Practices.  (4 Hours)
CY 5120.,plied Cryptography.  (4 Hours)
CY 5130.,mputer System Security.  (4 Hours)
CY 5150.,twork Security Practices.  (4 Hours)
CY 5200.,curity Risk Management and Assessment.  (4 Hours)
CY 5210.,formation System Forensics.  (4 Hours)
CY 5240.,"berlaw: Privacy, Ethics, and Digital Rights.  (4 Hours)"
CY 5250.,cision Making for Critical Infrastructure.  (4 Hours)
CY 5770.,ftware Vulnerabilities and Security.  (4 Hours)
CY 5976.,rected Study.  (1-4 Hours)
CY 5984.,search.  (2-4 Hours)
CY 6200.,"ecial Topics in IT Security Governance, Risk, and Compliance.  (1-4 Hours)"
CY 6240.,ecial Topics in Privacy Law.  (1-4 Hours)
CY 6720.,chine Learning in Cybersecurity and Privacy.  (4 Hours)
CY 6740.,twork Security.  (4 Hours)
CY 6750.,yptography and Communications Security.  (4 Hours)
CY 6760.,reless and Mobile Systems Security.  (4 Hours)
CY 6962.,ective.  (1-4 Hours)
CY 7790.,ecial Topics in Security and Privacy.  (4 Hours)
CY 7900.,pstone Project.  (4 Hours)
CY 7962.,ective.  (2-4 Hours)
CY 7990.,esis.  (2-4 Hours)
CY 7995.,oject.  (1-4 Hours)
CY 8982.,adings.  (1-8 Hours)
CY 9000.,D Candidacy Achieved.  (0 Hours)
CY 9990.,ssertation Term 1.  (0 Hours)
CY 9991.,ssertation Term 2.  (0 Hours)
CY 9996.,ssertation Continuation.  (0 Hours)
DA 1990.,ective.  (1-4 Hours)
DA 2990.,ective.  (1-4 Hours)
DA 3990.,ective.  (1-4 Hours)
DA 4990.,ective.  (1-4 Hours)
DA 5020.,"llecting, Storing, and Retrieving Data.  (4 Hours)"
DA 5030.,troduction to Data Mining/Machine Learning.  (4 Hours)
DA 6962.,ective.  (1-4 Hours)
DAMG 1990.,Elective.  (1-4 Hours)
DAMG 2990.,Elective.  (1-4 Hours)
DAMG 3990.,Elective.  (1-4 Hours)
DAMG 4990.,Elective.  (1-4 Hours)
DAMG 6105.,Data Science Engineering with Python.  (4 Hours)
DAMG 6210.,Data Management and Database Design.  (4 Hours)
DAMG 6962.,Elective.  (1-4 Hours)
DAMG 7105.,Intelligent Data Modeling and Presentation for Engineers.  (4 Hours)
DAMG 7245.,Big-Data Systems and Intelligence Analytics.  (4 Hours)
DAMG 7250.,Big Data Architecture and Governance.  (4 Hours)
DAMG 7275.,Advanced Database Management Systems.  (4 Hours)
DAMG 7290.,Data Warehousing and Business Intelligence.  (4 Hours)
DAMG 7325.,Introduction to Information Technology Auditing.  (4 Hours)
DAMG 7350.,Systems and Cybersecurity Fundamentals.  (4 Hours)
DAMG 7370.,Designing Advanced Data Architectures for Business Intelligence.  (4 Hours)
DAMG 7374.,Special Topics in Data Architecture and Management.  (1-4 Hours)
DAMG 7390.,Advances in Hybrid Data Integration and Engineering.  (4 Hours)
DAMG 7986.,Research.  (0 Hours)
DS 1990.,ective.  (1-4 Hours)
DS 2000.,ogramming with Data.  (2 Hours)
DS 2001.,ta Science Programming Practicum.  (2 Hours)
DS 2500.,termediate Programming with Data.  (4 Hours)
DS 2501.,b for DS 2500.  (1 Hour)
DS 2990.,ective.  (1-4 Hours)
DS 2991.,search in Data Science.  (1-4 Hours)
DS 3000.,undations of Data Science.  (4 Hours)
DS 3500.,vanced Programming with Data.  (4 Hours)
DS 3990.,ective.  (1-4 Hours)
DS 4200.,formation Presentation and Visualization.  (4 Hours)
DS 4300.,rge-Scale Information Storage and Retrieval.  (4 Hours)
DS 4400.,chine Learning and Data Mining 1.  (4 Hours)
DS 4420.,chine Learning and Data Mining 2.  (4 Hours)
DS 4440.,actical Neural Networks.  (4 Hours)
DS 4970.,nior/Senior Honors Project 1.  (4 Hours)
DS 4971.,nior/Senior Honors Project 2.  (4 Hours)
DS 4973.,pics in Data Science.  (4 Hours)
DS 4990.,ective.  (1-4 Hours)
DS 4991.,search.  (4 Hours)
DS 4992.,rected Study.  (1-4 Hours)
DS 4996.,periential Education Directed Study.  (1-4 Hours)
DS 4997.,ta Science Thesis.  (4 Hours)
DS 4998.,ta Science Thesis Continuation.  (4 Hours)
DS 5010.,troduction to Programming for Data Science.  (4 Hours)
DS 5020.,troduction to Linear Algebra and Probability for Data Science.  (4 Hours)
DS 5110.,troduction to Data Management and Processing.  (4 Hours)
DS 5220.,pervised Machine Learning and Learning Theory.  (4 Hours)
DS 5230.,supervised Machine Learning and Data Mining.  (4 Hours)
DS 5500.,ta Science Capstone.  (4 Hours)
DS 6962.,ective.  (1-4 Hours)
DS 7990.,esis.  (4 Hours)
DS 7995.,oject.  (1-4 Hours)
DS 8982.,adings.  (1-8 Hours)
DEAF 1500.,Deaf People in Society.  (4 Hours)
DEAF 1550.,"Dynamics of the Deaf/Blind Community: Culture, History, and Communication.  (4 Hours)"
DEAF 1990.,Elective.  (1-4 Hours)
DEAF 2500.,Deaf History and Culture.  (4 Hours)
DEAF 2700.,ASL Linguistics.  (4 Hours)
DEAF 2990.,Elective.  (1-4 Hours)
DEAF 3990.,Elective.  (1-4 Hours)
DEAF 4990.,Elective.  (1-4 Hours)
DGM 6105.,isual Communications Foundation.  (4 Hours)
DGM 6108.,rogramming Foundations for Digital Media.  (4 Hours)
DGM 6109.,ab for DGM 6108.  (2 Hours)
DGM 6122.,oundations of Digital Storytelling.  (4 Hours)
DGM 6125.,ime-Based Media.  (4 Hours)
DGM 6140.,ound Design.  (4 Hours)
DGM 6145.,nformation Technology and Creative Practice.  (4 Hours)
DGM 6168.,sability and Human Interaction.  (4 Hours)
DGM 6217.,ypography for Interactivity.  (4 Hours)
DGM 6230.,igital Media Entrepreneurship.  (4 Hours)
DGM 6268.,sable Design for Mobile Digital Media.  (4 Hours)
DGM 6279.,roject Management for Digital Media.  (4 Hours)
DGM 6280.,anaging for Digital Media.  (4 Hours)
DGM 6285.,nteractive Marketing Fundamentals.  (4 Hours)
DGM 6290.,ocial Media and Brand Strategy Implementation.  (4 Hours)
DGM 6308.,ntermediate Programming for Digital Media.  (4 Hours)
DGM 6317.,creen-Based Publication Design.  (4 Hours)
DGM 6322.,dvanced Digital Storytelling.  (4 Hours)
DGM 6400.,ame Design Fundamentals.  (4 Hours)
DGM 6403.,ame Engine Fundamentals.  (4 Hours)
DGM 6405.,ame Development.  (4 Hours)
DGM 6410.,ame Design Technology Lab.  (4 Hours)
DGM 6435.,igital Video Production.  (4 Hours)
DGM 6440.,diting in the Digital Studio.  (4 Hours)
DGM 6450.,nimation Basics.  (4 Hours)
DGM 6451.,eb Development.  (4 Hours)
DGM 6461.,nteractive Information Design 1.  (4 Hours)
DGM 6463.,nteractive Information Design 2.  (4 Hours)
DGM 6471.,esigning Infographics.  (4 Hours)
DGM 6501.,eb Creation Boot Camp.  (2 Hours)
DGM 6506.,ntroduction to Digital Video.  (2 Hours)
DGM 6510.,D Modeling.  (4 Hours)
DGM 6515.,ntroduction to After Effects.  (2 Hours)
DGM 6516.,irtual and Augmented Reality (VR/AR).  (2 Hours)
DGM 6520.,ighting for the Camera.  (4 Hours)
DGM 6521.,eb Creation for Content Management Systems.  (2 Hours)
DGM 6525.,esearch Methods for Global User Experiences.  (4 Hours)
DGM 6530.,haracter Animation.  (4 Hours)
DGM 6535.,igging Principles and Techniques.  (4 Hours)
DGM 6540.,ompositing.  (4 Hours)
DGM 6545.,ocumentary and Nonfiction Production.  (4 Hours)
DGM 6550.,earch Engine Optimization: Strategy and Implementation.  (4 Hours)
DGM 6890.,hesis Proposal Development.  (2 Hours)
DGM 6892.,apstone Project Preparation.  (2 Hours)
DGM 6962.,lective.  (1-4 Hours)
DGM 6983.,opics.  (1-4 Hours)
DGM 6995.,roject.  (1-4 Hours)
DGM 7962.,lective.  (1-4 Hours)
DGM 7980.,apstone.  (6 Hours)
DGM 7990.,hesis.  (4-6 Hours)
DGM 7996.,hesis Continuation - Half-Time.  (0 Hours)
DGTR 1001.,Emerging Technologies in Digital Transformation.  (4 Hours)
DGTR 1101.,Mathematical Structures and Methods.  (4 Hours)
DGTR 1110.,Business Foundations and Digital Transformation.  (4 Hours)
DGTR 1700.,Data Management Systems.  (4 Hours)
DGTR 1990.,Elective.  (1-4 Hours)
DGTR 2150.,Applied Data Visualization.  (4 Hours)
DGTR 2199.,Database Design and Management 1.  (4 Hours)
DGTR 2299.,Data-Driven Decision Making 1.  (4 Hours)
DGTR 2330.,Organizational Culture and Change.  (4 Hours)
DGTR 2500.,Digital Fluency in the AI-Enabled Enterprise.  (4 Hours)
DGTR 2501.,Information Technology Project Management.  (4 Hours)
DGTR 2700.,Foundations of Software Engineering.  (4 Hours)
DGTR 2822.,Networks and Platform Technologies.  (4 Hours)
DGTR 2850.,Intensive Foundations of Computer Science and Programming 1.  (4 Hours)
DGTR 2900.,Digital Transformation and Decision Making.  (4 Hours)
DGTR 2901.,Risk and Resilience in Digital Transformation Contexts.  (4 Hours)
DGTR 2990.,Elective.  (1-4 Hours)
DGTR 3000.,Innovation and Design in Customer Experience.  (4 Hours)
DGTR 3100.,Intensive Foundations of Computer Science and Programming 2.  (4 Hours)
DGTR 3199.,Database Design and Management 2.  (4 Hours)
DGTR 3299.,Data-Driven Decision Making 2.  (4 Hours)
DGTR 3310.,Predictive Analytics.  (4 Hours)
DGTR 3500.,Cybersecurity in Digital Transformation.  (4 Hours)
DGTR 3550.,Data Analytics in Digital Transformation.  (4 Hours)
DGTR 3990.,Elective.  (1-4 Hours)
DGTR 4000.,Implementing Data Science.  (4 Hours)
DGTR 4100.,Information Technology Service Management.  (4 Hours)
DGTR 4320.,Voice of the Customer.  (4 Hours)
DGTR 4450.,Strategy Consulting.  (4 Hours)
DGTR 4580.,Advanced Information Technology Service Management.  (4 Hours)
DGTR 4720.,Leadership and Personal Branding.  (4 Hours)
DGTR 4910.,Experiential Capstone.  (4 Hours)
DGTR 4990.,Elective.  (1-4 Hours)
ENVR 1000.,Marine and Environmental Sciences at Northeastern.  (1 Hour)
ENVR 1101.,Environmental Science.  (4 Hours)
ENVR 1103.,Age of Dinosaurs.  (4 Hours)
ENVR 1110.,Global Climate Change.  (4 Hours)
ENVR 1120.,Oceans and Coasts.  (4 Hours)
ENVR 1200.,Dynamic Earth.  (4 Hours)
ENVR 1201.,Lab for ENVR 1200.  (1 Hour)
ENVR 1202.,History of Earth and Life.  (4 Hours)
ENVR 1203.,Interpreting Earth History.  (1 Hour)
ENVR 1400.,Foundations in Environmental and Sustainability Sciences.  (4 Hours)
ENVR 1401.,Lab for ENVR 1400.  (1 Hour)
ENVR 1500.,"Introduction to Environmental, Social, and Biological Data.  (4 Hours)"
ENVR 1501.,Lab for ENVR 1500.  (1 Hour)
ENVR 1990.,Elective.  (1-4 Hours)
ENVR 2200.,Earth's Changing Cycles.  (4 Hours)
ENVR 2310.,Earth Materials.  (4 Hours)
ENVR 2311.,Lab for ENVR 2310.  (1 Hour)
ENVR 2340.,Earth Landforms and Processes.  (4 Hours)
ENVR 2341.,Lab for ENVR 2340.  (1 Hour)
ENVR 2401.,Food Justice and Community Development.  (4 Hours)
ENVR 2500.,Biostatistics.  (4 Hours)
ENVR 2501.,Lab for ENVR 2500.  (1 Hour)
ENVR 2502.,Recitation for ENVR 2500.  (0 Hours)
ENVR 2515.,Sustainable Development.  (4 Hours)
ENVR 2900.,Special Topics in Environmental Studies.  (4 Hours)
ENVR 2990.,Elective.  (1-4 Hours)
ENVR 2991.,Research in Marine and Environmental Sciences.  (1-4 Hours)
ENVR 3125.,Global Oceanic Change.  (4 Hours)
ENVR 3150.,Food Security and Sustainability.  (4 Hours)
ENVR 3151.,Food Sustainability in the Mediterranean - Abroad.  (4 Hours)
ENVR 3200.,Water Resources.  (4 Hours)
ENVR 3201.,Coastal Sustainability: Ecology and Coupled Human-Natural Systems in Southeast Asia.  (4 Hours)
ENVR 3202.,Coastal Sustainability: The Blue Economy of the Gulf of Maine.  (4 Hours)
ENVR 3300.,Geographic Information Systems.  (4 Hours)
ENVR 3301.,Lab for ENVR 3300.  (1 Hour)
ENVR 3410.,Environmental Geochemistry.  (4 Hours)
ENVR 3418.,Geophysics.  (4 Hours)
ENVR 3435.,Environmental Pollution: Fate and Transport.  (4 Hours)
ENVR 3540.,Environmental Psychology.  (4 Hours)
ENVR 3600.,Oceanography.  (4 Hours)
ENVR 3701.,Energy in the Desert Ecosystem.  (4 Hours)
ENVR 3800.,Plants and Society.  (4 Hours)
ENVR 3801.,Lab for ENVR 3800.  (1 Hour)
ENVR 3850.,Sustainable Agriculture.  (4 Hours)
ENVR 3851.,Lab for ENVR 3850.  (1 Hour)
ENVR 3990.,Elective.  (1-4 Hours)
ENVR 4000.,Science Communication and Professional Development.  (4 Hours)
ENVR 4050.,Solving Emerging Environmental Challenges through Capstone.  (4 Hours)
ENVR 4500.,Applied Hydrogeology.  (4 Hours)
ENVR 4501.,Lab for ENVR 4500.  (1 Hour)
ENVR 4504.,Environmental Pollution.  (4 Hours)
ENVR 4505.,Wetlands.  (4 Hours)
ENVR 4900.,Earth and Environmental Science Capstone.  (1 Hour)
ENVR 4970.,Junior/Senior Honors Project 1.  (4 Hours)
ENVR 4971.,Junior/Senior Honors Project 2.  (4 Hours)
ENVR 4990.,Elective.  (1-4 Hours)
ENVR 4992.,Directed Study.  (1-4 Hours)
ENVR 4996.,Experiential Education Directed Study.  (4 Hours)
ENVR 4997.,Senior Thesis.  (4 Hours)
ENVR 5115.,Advanced Topics in Environmental Geology.  (4 Hours)
ENVR 5150.,Climate and Atmospheric Change.  (4 Hours)
ENVR 5190.,Soil Science.  (4 Hours)
ENVR 5201.,Geologic Field Seminar.  (4 Hours)
ENVR 5202.,Environmental Science Field Seminar Abroad.  (4 Hours)
ENVR 5210.,Environmental Planning.  (4 Hours)
ENVR 5220.,Ecosystem-Based Management.  (4 Hours)
ENVR 5240.,Sedimentary Basin Analysis.  (4 Hours)
ENVR 5241.,Lab for ENVR 5240.  (1 Hour)
ENVR 5242.,Ancient Marine Life.  (4 Hours)
ENVR 5243.,Lab for ENVR 5242.  (1 Hour)
ENVR 5260.,Geographical Information Systems.  (4 Hours)
ENVR 5350.,Sustainable Energy and Climate Solutions.  (4 Hours)
ENVR 5450.,Applied Social-Ecological Systems Modeling.  (4 Hours)
